Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels
Story,[SHIP-164] Admin dispute workflow and outcome,"Done when: Dispute moves through investigation to a documented outcome that unfreezes the job

Depends on: SHIP-163, SHIP-150",,Administration and Moderation,5,Medium,M6
Story,[SHIP-165] Admin audit log viewer,"Done when: Immutable history is searchable by actor, target, and date

Depends on: SHIP-150",,Administration and Moderation,3,Medium,M6
Story,[SHIP-166] Two-person review for permanent suspension,"Done when: A permanent suspension requires a second administrator's approval

Depends on: SHIP-161",,Administration and Moderation,3,Medium,M6
Epic,M7 — Hardening and pilot readiness,"The store prerequisites are met, the system is observable, and the release gate can be run.",Hardening and Pilot Readiness,,,Medium,M7
Story,[SHIP-167] Minimum supported version endpoint,"Done when: GET /v1/app/minimum-version returns the floor per platform

Depends on: SHIP-13",,Hardening and Pilot Readiness,2,High,M7
Story,[SHIP-168] Flutter launch-time version gate,"Done when: A build below the floor blocks with an update prompt linking to the store

Depends on: SHIP-167, SHIP-49",,Hardening and Pilot Readiness,3,High,M7
Story,[SHIP-169] Account deletion request endpoint,"Done when: A signed-in user can request deletion and receives a completion date

Depends on: SHIP-44",,Hardening and Pilot Readiness,3,High,M7
Story,[SHIP-170] Deletion deferral during an active job,"Done when: A request during Awarded to Delivered queues until the job closes and explains why

Depends on: SHIP-169, SHIP-57",,Hardening and Pilot Readiness,3,High,M7
Story,[SHIP-171] User record pseudonymisation,"Done when: Profile and contact data are irreversibly replaced by a stable pseudonym

Depends on: SHIP-170",,Hardening and Pilot Readiness,5,High,M7
Story,[SHIP-172] Cascade deletion of personal artefacts,"Done when: Verification documents, message bodies, device tokens, and attributable images are removed

Depends on: SHIP-171",,Hardening and Pilot Readiness,5,High,M7
Story,[SHIP-173] Flutter account deletion UI,"Done when: Deletion is initiated in-app with clear consequences and confirmation

Depends on: SHIP-169, SHIP-49",,Hardening and Pilot Readiness,3,High,M7
Story,[SHIP-174] Datadog APM and log ingestion,"Done when: Traces and structured logs arrive from the Go service and are searchable

Depends on: SHIP-9",,Hardening and Pilot Readiness,3,Medium,M7
Story,[SHIP-175] Datadog job and bid outcome dashboards,"Done when: Publication, bid, and award success rates are visible on one board

Depends on: SHIP-174",,Hardening and Pilot Readiness,3,Medium,M7
Story,[SHIP-176] Notification failure alerting,"Done when: A rise in undelivered notifications pages someone

Depends on: SHIP-174, SHIP-137",,Hardening and Pilot Readiness,2,Medium,M7
Story,[SHIP-177] Delayed and stuck job alerting,"Done when: Jobs stalled in a status beyond threshold raise an alert

Depends on: SHIP-174",,Hardening and Pilot Readiness,2,Medium,M7
Story,[SHIP-178] Crash and adoption reporting per app version,"Done when: Crash rate and install base are visible per build, feeding version retirement

Depends on: SHIP-21",,Hardening and Pilot Readiness,3,Medium,M7
Story,[SHIP-179] Permission purpose strings,"Done when: Camera and notification prompts explain their purpose in plain language

Depends on: SHIP-16",,Hardening and Pilot Readiness,1,High,M7
Story,[SHIP-180] Apple privacy labels submission,"Done when: Labels submitted and consistent with the published privacy policy

Depends on: SHIP-25, X-7",,Hardening and Pilot Readiness,2,High,M7
Story,[SHIP-181] Google Play data safety declaration,"Done when: Declaration submitted and consistent with the published privacy policy

Depends on: SHIP-27, X-7",,Hardening and Pilot Readiness,2,High,M7
Story,[SHIP-182] Backup and restore rehearsal,"Done when: A production-shaped database is restored from backup and verified

Depends on: SHIP-2",,Hardening and Pilot Readiness,5,Medium,M7
Story,[SHIP-183] API-wide rate limiting review,"Done when: Every public endpoint has a considered limit and returns a typed error when exceeded

Depends on: SHIP-47",,Hardening and Pilot Readiness,3,Medium,M7
Story,[SHIP-184] Pilot-scale load smoke test,"Done when: The stack handles expected pilot concurrency without error-rate degradation

Depends on: SHIP-174",,Hardening and Pilot Readiness,3,Medium,M7
Story,[SHIP-185] Release gate run-through,"Done when: Every condition in Docs 01 §8 is evidenced and signed off

Depends on: SHIP-180, SHIP-181",,Hardening and Pilot Readiness,3,Medium,M7
